Value_SP500_REAL_PRICE_MONTH,Value_SP500_DIV_YIELD_MONTH,Value_SP500_PE_RATIO_MONTH,Value_SHILLER_PE_RATIO_MONTH,Value_SP500_EARNINGS_YIELD_MONTH,Value_SP500_INFLADJ_MONTH,Value_SP500_PSR_QUARTER,Value_SP500_DIV_MONTH,Value_SP500_DIV_YEAR,Value_SP500_DIV_GROWTH_YEAR,Value_SP500_DIV_GROWTH_QUARTER,Value_SP500_PBV_RATIO_QUARTER,Value_SHILLER_PE_RATIO_YEAR,Value_SP500_PE_RATIO_YEAR,Value_SP500_DIV_YIELD_YEAR,Value_SP500_PSR_YEAR,Value_SP500_EARNINGS_YIELD_YEAR,Value_SP500_PBV_RATIO_YEAR,Value_SP500_INFLADJ_YEAR,Value_SP500_SALES_YEAR,Value_SP500_SALES_GROWTH_YEAR,Value_SP500_SALES_QUARTER,Value_SP500_REAL_SALES_GROWTH_QUARTER,Value_SP500_SALES_GROWTH_QUARTER,Value_SP500_REAL_SALES_GROWTH_YEAR,Value_SP500_REAL_EARNINGS_GROWTH_YEAR,Value_SP500_REAL_SALES_YEAR,Value_SP500_REAL_EARNINGS_GROWTH_QUARTER,Value_SP500_EARNINGS_GROWTH_QUARTER,Value_SP500_REAL_SALES_QUARTER,Value_SP500_EARNINGS_MONTH,Value_SP500_BVPS_YEAR,Value_SP500_EARNINGS_YEAR,Value_SP500_EARNINGS_GROWTH_YEAR,Value_SP500_BVPS_QUARTER
4.44,,11.1,,9.01,90.11,,,,,,,,11.1,,,9.01,,90.11,,,,,,,,,,,,,,,,
,5.86,,,,,,5.28,5.15,,,,,,5.86,,,,,,,,,,,,,,,,8.12,,7.92,,
4.5,,11.25,10.92,8.89,88.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.78,,,,,,5.12,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,
4.61,,11.52,11.19,8.68,89.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.64,,,,,,5.05,,,,,,,,,,,,,,,,,,,,,,,7.76,,,,
4.74,,11.85,12.05,8.44,95.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.49,,,,,,5.23,,,,,,,,,,,,,,,,,,,,,,,8.05,,,,
4.86,,12.15,12.59,8.23,100.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.35,,,,,,5.36,,,,,,,,,,,,,,,,,,,,,,,8.24,,,,
4.82,,12.05,12.59,8.3,100.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.39,,,,,,5.44,,,,,,,,,,,,,,,,,,,,,,,8.37,,,,
4.73,,11.82,12.27,8.46,99.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.5,,,,,,5.44,,,,,,,,,,,,,,,,,,,,,,,8.37,,,,
4.79,,11.98,12.55,8.35,101.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.43,,,,,,5.53,,,,,,,,,,,,,,,,,,,,,,,8.51,,,,
4.84,,12.1,12.31,8.26,100.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.37,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,
4.59,,11.48,11.47,8.71,93.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.66,,,,,,5.32,,,,,,,,,,,,,,,,,,,,,,,8.18,,,,
4.64,,11.6,11.6,8.62,94.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.6,,,,,,5.32,,,,,,,,,,,,,,,,,,,,,,,8.18,,,,
4.74,,11.85,11.59,8.44,94.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.49,,,,,,5.2,5.2,,,,,,5.49,,,,,,,,,,,,,,,,8.0,,8.0,,
4.86,,12.07,11.9,8.28,97.16,,,,,,,11.9,12.07,,,8.28,,97.16,,,,,,,,,,,,,,,,
,5.42,,,,,,5.26,,,,,,,,,,,,,,,,,,,,,,,8.05,,,,
4.88,,12.05,11.96,8.3,97.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.47,,,,,,5.33,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,
5.04,,12.37,12.18,8.09,99.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.36,,,,,,5.32,,,,,,,,,,,,,,,,,,,,,,,8.03,,,,
5.18,,12.63,12.25,7.92,99.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.28,,,,,,5.26,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,
5.18,,12.56,12.28,7.96,99.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.34,,,,,,5.33,,,,,,,,,,,,,,,,,,,,,,,7.94,,,,
5.13,,12.36,12.27,8.09,99.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.46,,,,,,5.43,,,,,,,,,,,,,,,,,,,,,,,8.05,,,,
5.1,,12.22,12.38,8.19,100.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.55,,,,,,5.58,,,,,,,,,,,,,,,,,,,,,,,8.22,,,,
