Value_SP500_REAL_PRICE_MONTH,Value_SP500_DIV_YIELD_MONTH,Value_SP500_PE_RATIO_MONTH,Value_SHILLER_PE_RATIO_MONTH,Value_SP500_EARNINGS_YIELD_MONTH,Value_SP500_INFLADJ_MONTH,Value_SP500_PSR_QUARTER,Value_SP500_DIV_MONTH,Value_SP500_DIV_YEAR,Value_SP500_DIV_GROWTH_YEAR,Value_SP500_DIV_GROWTH_QUARTER,Value_SP500_PBV_RATIO_QUARTER,Value_SHILLER_PE_RATIO_YEAR,Value_SP500_PE_RATIO_YEAR,Value_SP500_DIV_YIELD_YEAR,Value_SP500_PSR_YEAR,Value_SP500_EARNINGS_YIELD_YEAR,Value_SP500_PBV_RATIO_YEAR,Value_SP500_INFLADJ_YEAR,Value_SP500_SALES_YEAR,Value_SP500_SALES_GROWTH_YEAR,Value_SP500_SALES_QUARTER,Value_SP500_REAL_SALES_GROWTH_QUARTER,Value_SP500_SALES_GROWTH_QUARTER,Value_SP500_REAL_SALES_GROWTH_YEAR,Value_SP500_REAL_EARNINGS_GROWTH_YEAR,Value_SP500_REAL_SALES_YEAR,Value_SP500_REAL_EARNINGS_GROWTH_QUARTER,Value_SP500_EARNINGS_GROWTH_QUARTER,Value_SP500_REAL_SALES_QUARTER,Value_SP500_EARNINGS_MONTH,Value_SP500_BVPS_YEAR,Value_SP500_EARNINGS_YEAR,Value_SP500_EARNINGS_GROWTH_YEAR,Value_SP500_BVPS_QUARTER
4.44,5.86,11.1,10.92,9.01,90.11,1.77,5.28,5.15,13.38,13.38,5.05,11.9,11.1,5.86,1.77,9.01,5.05,90.11,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.12,290.68,7.92,-3.71,290.68
4.470000000000001,5.86,11.175,10.92,8.95,89.37,1.77,5.28,5.15,13.38,13.38,5.05,11.9,11.140416666666667,5.86,1.77,8.979583333333332,5.05,90.40375,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.12,290.68,7.92,-3.71,290.68
4.5,5.82,11.25,10.92,8.89,88.63,1.77,5.2,5.152272727272727,13.38,13.38,5.05,11.9,11.180833333333332,5.843181818181819,1.77,8.949166666666667,5.05,90.6975,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.0,290.68,7.923636363636364,-3.71,290.68
4.555,5.78,11.385,11.055,8.785,89.05,1.77,5.12,5.154545454545455,13.38,13.38,5.05,11.9,11.22125,5.826363636363637,1.77,8.91875,5.05,90.99125,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,7.88,290.68,7.927272727272727,-3.71,290.68
4.61,5.71,11.52,11.19,8.68,89.47,1.77,5.085,5.156818181818182,13.38,13.38,5.05,11.9,11.261666666666667,5.809545454545455,1.77,8.888333333333334,5.05,91.285,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,7.82,290.68,7.930909090909091,-3.71,290.68
4.675000000000001,5.64,11.684999999999999,11.620000000000001,8.559999999999999,92.455,1.77,5.05,5.159090909090909,13.38,13.38,5.05,11.9,11.302083333333334,5.792727272727273,1.77,8.857916666666666,5.05,91.57875,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,7.76,290.68,7.934545454545455,-3.71,290.68
4.74,5.5649999999999995,11.85,12.05,8.44,95.44,1.77,5.140000000000001,5.161363636363637,13.38,13.38,5.05,11.9,11.3425,5.775909090909091,1.77,8.8275,5.05,91.8725,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,7.905,290.68,7.9381818181818184,-3.71,290.68
4.800000000000001,5.49,12.0,12.32,8.335,97.8,1.77,5.23,5.163636363636364,13.38,13.38,5.05,11.9,11.382916666666667,5.75909090909091,1.77,8.797083333333333,5.05,92.16625,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.05,290.68,7.941818181818181,-3.71,290.68
4.86,5.42,12.15,12.59,8.23,100.16,1.77,5.295,5.165909090909091,13.38,13.38,5.05,11.9,11.423333333333334,5.742272727272727,1.77,8.766666666666666,5.05,92.46,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.145,290.68,7.945454545454545,-3.71,290.68
4.84,5.35,12.100000000000001,12.59,8.265,100.53,1.77,5.36,5.168181818181819,13.38,13.38,5.05,11.9,11.46375,5.725454545454546,1.77,8.73625,5.05,92.75375,745.7,-1.18,745.7,-3.66,-1.18,-3.66,-7.94,1091.04,-7.94,-3.71,1091.04,8.24,290.68,7.949090909090909,-3.71,290.68
