Value_SP500_REAL_PRICE_MONTH,Value_SP500_DIV_YIELD_MONTH,Value_SP500_PE_RATIO_MONTH,Value_SHILLER_PE_RATIO_MONTH,Value_SP500_EARNINGS_YIELD_MONTH,Value_SP500_INFLADJ_MONTH,Value_SP500_PSR_QUARTER,Value_SP500_DIV_MONTH,Value_SP500_DIV_YEAR,Value_SP500_DIV_GROWTH_YEAR,Value_SP500_DIV_GROWTH_QUARTER,Value_SP500_PBV_RATIO_QUARTER,Value_SHILLER_PE_RATIO_YEAR,Value_SP500_PE_RATIO_YEAR,Value_SP500_DIV_YIELD_YEAR,Value_SP500_PSR_YEAR,Value_SP500_EARNINGS_YIELD_YEAR,Value_SP500_PBV_RATIO_YEAR,Value_SP500_INFLADJ_YEAR,Value_SP500_SALES_YEAR,Value_SP500_SALES_GROWTH_YEAR,Value_SP500_SALES_QUARTER,Value_SP500_REAL_SALES_GROWTH_QUARTER,Value_SP500_SALES_GROWTH_QUARTER,Value_SP500_REAL_SALES_GROWTH_YEAR,Value_SP500_REAL_EARNINGS_GROWTH_YEAR,Value_SP500_REAL_SALES_YEAR,Value_SP500_REAL_EARNINGS_GROWTH_QUARTER,Value_SP500_EARNINGS_GROWTH_QUARTER,Value_SP500_REAL_SALES_QUARTER,Value_SP500_EARNINGS_MONTH,Value_SP500_BVPS_YEAR,Value_SP500_EARNINGS_YEAR,Value_SP500_EARNINGS_GROWTH_YEAR,Value_SP500_BVPS_QUARTER
4.44,4.22,11.1,11.34,9.01,90.11,1.43,7.22,6.72,-21.07,11.89,2.58,11.9,11.1,4.07,1.31,9.01,2.17,90.11,674.59,-12.86,674.59,-1.8,-16.46,-12.69,-79.48,947.01,11.38,17.75,945.58,8.86,290.68,20.0,-77.52,290.68
4.37,5.86,15.61,11.34,5.62,177.12,1.43,5.28,5.15,-21.07,11.89,2.58,11.9,11.82,5.86,1.31,5.33,2.17,82.06,674.59,-12.86,674.59,-1.8,-16.46,-12.69,-79.48,947.01,11.38,17.75,945.58,8.12,290.68,7.92,-77.52,290.68
4.5,4.22,11.25,10.92,8.89,88.63,1.43,7.22,6.72,-21.07,11.89,2.58,11.9,11.82,4.07,1.31,5.33,2.17,82.06,674.59,-12.86,674.59,-1.8,-16.46,-12.69,-79.48,947.01,11.38,17.75,945.58,8.86,290.68,20.0,-77.52,290.68
4.37,5.78,15.61,11.34,5.62,177.12,1.43,5.12,6.72,-21.07,11.89,2.58,11.9,11.82,4.07,1.31,5.33,2.17,82.06,674.59,-12.86,674.59,-1.8,-16.46,-12.69,-79.48,947.01,11.38,17.75,945.58,7.88,290.68,20.0,-77.52,290.68
4.61,4.22,11.52,11.19,8.68,89.47,1.43,7.22,6.72,-21.07,11.89,2.58,11.9,11.82,4.07,1.31,5.33,2.17,82.06,674.59,-12.86,674.59,-1.8,-16.46,-12.69,-79.48,947.01,11.38,17.75,945.58,8.86,290.68,20.0,-77.52,290.68
4.37,5.64,15.61,11.34,5.62,177.12,1.43,5.05,6.72,-21.07,11.89,2.58,11.9,11.82,4.07,1.31,5.33,2.17,82.06,674.59,-12.86,674.59,-1.8,-16.46,-12.69,-79.48,947.01,11.38,17.75,945.58,7.76,290.68,20.0,-77.52,290.68
4.74,4.22,11.85,12.05,8.44,95.44,1.43,7.22,6.72,-21.07,11.89,2.58,11.9,11.82,4.07,1.31,5.33,2.17,82.06,674.59,-12.86,674.59,-1.8,-16.46,-12.69,-79.48,947.01,11.38,17.75,945.58,8.86,290.68,20.0,-77.52,290.68
4.37,5.49,15.61,11.34,5.62,177.12,1.43,5.23,6.72,-21.07,11.89,2.58,11.9,11.82,4.07,1.31,5.33,2.17,82.06,674.59,-12.86,674.59,-1.8,-16.46,-12.69,-79.48,947.01,11.38,17.75,945.58,8.05,290.68,20.0,-77.52,290.68
4.86,4.22,12.15,12.59,8.23,100.16,1.43,7.22,6.72,-21.07,11.89,2.58,11.9,11.82,4.07,1.31,5.33,2.17,82.06,674.59,-12.86,674.59,-1.8,-16.46,-12.69,-79.48,947.01,11.38,17.75,945.58,8.86,290.68,20.0,-77.52,290.68
4.37,5.35,15.61,11.34,5.62,177.12,1.43,5.36,6.72,-21.07,11.89,2.58,11.9,11.82,4.07,1.31,5.33,2.17,82.06,674.59,-12.86,674.59,-1.8,-16.46,-12.69,-79.48,947.01,11.38,17.75,945.58,8.24,290.68,20.0,-77.52,290.68
